title,story_tri_part_text,acceptance_criteria,ac_readability_score,conversation,backlog_parent,convo_readability_score,autoscoring_on,archive_indicator,readiness_quality_score,story_points,user_story_status,User_story_type,ar_user,owner,created_by,created_dt,updated_dt,updated_by,organization_name,attachments
Not quite as bad a user story,,,0.0,,BookMineDash,0.0,False,False,87.0,None,Pending,Functional,jitendra narvaria ,jitendra narvaria ,Aman,2020-02-07 17:58:47.709353+00:00,2020-02-12 12:45:30.630235+00:00,jitendra narvaria ,digimok,/media/None
Bad User Story,,,0.0,,Backlog 2,0.0,False,False,88.0,Smallish,Pending,Discovery,jitendra narvaria ,jitendra narvaria ,Aman,2020-02-07 17:58:47.728882+00:00,2020-02-08 07:12:02.963261+00:00,jitendra narvaria ,digimok,/media/None
Phone Id lookup,,,0.0,,Tony Timbol,0.0,False,False,88.0,Smallish,Active,Functional,jitendra narvaria ,jitendra narvaria ,Aman,2020-02-07 17:58:47.748598+00:00,2020-02-08 07:11:24.470367+00:00,jitendra narvaria ,digimok,/media/None
Phone Id lookup 2,,this is aa,119.19,what's in your mind,Backlog 2,118.18,False,False,80.0,None,Active,Functional,jitendra narvaria ,jitendra narvaria ,Aman,2020-02-07 17:58:47.767944+00:00,2020-02-12 12:48:15.372977+00:00,jitendra narvaria ,digimok,/media/None
Test,,,0.0,,Tony Timbol,0.0,False,False,88.0,None,Pending,Functional,jitendra narvaria ,jitendra narvaria ,Aman,2020-02-07 17:58:47.787618+00:00,2020-02-08 11:19:55.481408+00:00,jitendra narvaria ,digimok,/media/attachments/day_2_dinner_5e2ab4ef434d4.jpg
Book Capture digimonk,As a Book Lover I want to read and write the code so that we can connect to other systems,Hello World,77.91,Hello Admin,Digimonk BookMineCore,35.61,True,False,91.0,Extra Extra Large (XXL),Ideation,Discovery,jitendra narvaria ,jitendra narvaria ,jitendra narvaria ,2020-02-10 09:44:14.735160+00:00,2020-02-10 09:44:14.735152+00:00,jitendra narvaria ,digimok,/media/None
ISBN Scan digimonk,As a software developer I want to the code so that I can prepare wonderful view of our project.,Good Quality,77.91,hello,Digimonk BookTrader-1,36.62,True,False,92.0,Extra Extra Extra Large (XXXL),Not Ready,Non-Functional Requirement,kartik,jitendra narvaria ,jitendra narvaria ,2020-02-10 09:53:25.070700+00:00,2020-02-12 05:44:05.192652+00:00,jitendra narvaria ,digimok,/media/None
FindTrader(Spike) digimonk,As a software developer I want to write the code so that I can prepare wonderful view of our project.as a i want to be a engineer so that,what what,147.11,best quality,Digimonk BookMineDash,77.91,True,False,100.0,Large,Ideation,Functional,jitendra narvaria ,jitendra narvaria ,jitendra narvaria ,2020-02-10 09:59:01.402327+00:00,2020-02-12 13:13:10.980599+00:00,jitendra narvaria ,digimok,/media/None
Test Stroy,As a Team Member I want to read and write the code so that I can log in my book faster,,0.0,,Tony Timbol,0.0,True,False,83.0,None,Pending,Discovery,kartik,jitendra narvaria ,jitendra narvaria ,2020-02-12 11:03:17.169094+00:00,2020-02-12 11:03:17.169086+00:00,jitendra narvaria ,digimok,/media/None
Test Stroy 1,As a Team Member I want to write the code so that I can log in my book faster,dummy acceptance criteria,62.51,dummy conversations,Tony Timbol,-6.7,True,False,88.0,Epic,Pending,Functional,kartik,jitendra narvaria ,jitendra narvaria ,2020-02-12 11:04:19.309686+00:00,2020-02-12 13:50:11.952153+00:00,jitendra narvaria ,digimok,/media/None
